Date,Active Device Installs,Notes
2020-02-27,136,
2020-02-28,132,
2020-02-29,140,
2020-03-01,139,
2020-03-02,134,
2020-03-03,137,
2020-03-04,142,
2020-03-05,136,
2020-03-06,138,
2020-03-07,141,
2020-03-08,136,
2020-03-09,135,
2020-03-10,133,
2020-03-11,139,
2020-03-12,145,
2020-03-13,138,
2020-03-14,143,
2020-03-15,143,
2020-03-16,144,
2020-03-17,138,
2020-03-18,142,
2020-03-19,147,
2020-03-20,146,
2020-03-21,149,
2020-03-22,150,
2020-03-23,152,
2020-03-24,153,
2020-03-25,160,
2020-03-26,162,
2020-03-27,162,
2020-03-28,163,
2020-03-29,165,
2020-03-30,165,
2020-03-31,165,
2020-04-01,171,
2020-04-02,167,
2020-04-03,164,
2020-04-04,169,
2020-04-05,168,
2020-04-06,179,
2020-04-07,178,
2020-04-08,177,
2020-04-09,180,
2020-04-10,172,
2020-04-11,178,
2020-04-12,173,
2020-04-13,178,
2020-04-14,175,
2020-04-15,182,
2020-04-16,182,
2020-04-17,179,
2020-04-18,187,
2020-04-19,181,
2020-04-20,188,
2020-04-21,184,
2020-04-22,190,
2020-04-23,184,
2020-04-24,185,
2020-04-25,191,
2020-04-26,197,
2020-04-27,193,
2020-04-28,199,
2020-04-29,199,
2020-04-30,202,
2020-05-01,201,
2020-05-02,199,
2020-05-03,196,
2020-05-04,193,
2020-05-05,189,Rollout of release: Started rollout of 0.9.0 at 100%.
2020-05-06,196,
2020-05-07,211,
2020-05-08,209,
2020-05-09,223,
2020-05-10,226,
2020-05-11,237,
2020-05-12,236,
2020-05-13,244,
2020-05-14,255,
2020-05-15,255,
2020-05-16,263,
2020-05-17,264,
2020-05-18,271,
2020-05-19,269,
2020-05-20,272,
2020-05-21,276,
2020-05-22,289,
2020-05-23,281,
2020-05-24,285,
2020-05-25,299,
2020-05-26,298,
2020-05-27,302,
2020-05-28,295,
2020-05-29,295,
2020-05-30,297,
2020-05-31,309,
2020-06-01,301,
2020-06-02,300,
2020-06-03,304,
2020-06-04,302,
2020-06-05,301,
2020-06-06,310,
2020-06-07,316,
2020-06-08,320,
2020-06-09,322,
2020-06-10,326,
2020-06-11,328,
2020-06-12,333,
2020-06-13,327,
2020-06-14,329,
2020-06-15,337,
2020-06-16,336,
2020-06-17,353,
2020-06-18,351,
2020-06-19,350,
2020-06-20,350,
2020-06-21,354,
2020-06-22,345,Rollout of release: Started rollout of 0.9.1 at 100%.
2020-06-23,353,
2020-06-24,356,
2020-06-25,349,
2020-06-26,343,
2020-06-27,346,
2020-06-28,349,
2020-06-29,354,
2020-06-30,349,
2020-07-01,355,
2020-07-02,355,
2020-07-03,359,
2020-07-04,358,
2020-07-05,351,
2020-07-06,354,
2020-07-07,355,
2020-07-08,358,
2020-07-09,355,
2020-07-10,364,
2020-07-11,365,
2020-07-12,368,
2020-07-13,368,
2020-07-14,367,
2020-07-15,371,
2020-07-16,373,
2020-07-17,376,
2020-07-18,381,
2020-07-19,382,
2020-07-20,387,
2020-07-21,389,
2020-07-22,380,
2020-07-23,391,
2020-07-24,378,
2020-07-25,388,
2020-07-26,395,
2020-07-27,391,
2020-07-28,390,
2020-07-29,385,Rollout of release: Started rollout of 0.9.2 at 100%.
2020-07-30,400,
2020-07-31,395,
2020-08-01,401,
2020-08-02,395,
2020-08-03,393,
2020-08-04,405,
2020-08-05,408,
2020-08-06,403,
2020-08-07,399,
2020-08-08,403,
2020-08-09,408,
2020-08-10,415,
2020-08-11,411,
2020-08-12,416,
2020-08-13,411,
2020-08-14,403,
2020-08-15,413,
2020-08-16,423,
2020-08-17,415,
2020-08-18,412,
2020-08-19,414,
2020-08-20,425,
2020-08-21,431,
2020-08-22,432,
2020-08-23,425,
2020-08-24,434,
2020-08-25,429,
2020-08-26,431,
2020-08-27,446,
2020-08-28,456,
2020-08-29,458,
2020-08-30,468,
2020-08-31,475,
2020-09-01,477,
2020-09-02,492,
2020-09-03,493,
2020-09-04,484,
2020-09-05,483,
2020-09-06,496,
2020-09-07,498,
2020-09-08,501,
2020-09-09,494,
2020-09-10,509,
2020-09-11,489,
2020-09-12,502,
2020-09-13,495,
2020-09-14,504,
2020-09-15,507,
2020-09-16,512,
2020-09-17,511,
2020-09-18,512,
2020-09-19,515,
2020-09-20,510,
2020-09-21,524,
2020-09-22,524,
2020-09-23,533,
2020-09-24,533,
2020-09-25,527,
2020-09-26,522,
2020-09-27,522,
2020-09-28,533,
2020-09-29,526,
2020-09-30,534,
2020-10-01,533,
2020-10-02,531,
2020-10-03,539,
2020-10-04,547,
2020-10-05,536,
2020-10-06,540,Metric update: Data reconciliation on this date may result in a one-off increase in reported uninstalls.
2020-10-07,533,
2020-10-08,532,
2020-10-09,547,
2020-10-10,552,
2020-10-11,556,
2020-10-12,560,
2020-10-13,550,
2020-10-14,562,
2020-10-15,559,
2020-10-16,567,
2020-10-17,560,
2020-10-18,568,
2020-10-19,557,
2020-10-20,562,
2020-10-21,558,
2020-10-22,561,
