timestamp,downloads,stars
2018-04-13T00:00:02.005732+00:00,3420,896
2018-04-14T00:00:01.290795+00:00,3470,898
2018-04-15T00:00:01.564095+00:00,3480,899
2018-04-16T00:00:01.884603+00:00,3501,901
2018-04-17T00:00:02.196621+00:00,3512,901
2018-04-18T00:00:01.498146+00:00,3519,901
2018-04-19T00:00:01.836327+00:00,3528,902
2018-04-20T00:00:02.436656+00:00,3547,903
2018-04-21T00:00:01.667565+00:00,3554,904
2018-04-22T00:00:01.884806+00:00,3560,904
2018-04-23T00:00:02.042225+00:00,3575,906
2018-04-24T00:00:01.660308+00:00,3613,910
2018-04-25T00:00:02.390543+00:00,3631,913
2018-04-26T00:00:01.642266+00:00,3656,914
2018-04-27T00:00:01.850374+00:00,3671,917
2018-04-28T00:00:02.366175+00:00,3715,920
2018-04-29T00:00:01.539751+00:00,3728,923
2018-04-30T00:00:01.799697+00:00,3739,924
2018-05-01T00:00:02.050597+00:00,3759,926
2018-05-02T00:00:01.340164+00:00,3766,924
2018-05-03T00:00:01.607090+00:00,3785,927
2018-05-04T00:00:01.826062+00:00,3808,930
2018-05-05T00:00:02.268143+00:00,3824,933
2018-05-06T00:00:01.456033+00:00,3838,933
2018-05-07T00:00:01.659422+00:00,3851,934
2018-05-08T00:00:01.830781+00:00,3869,939
2018-05-09T00:00:02.094006+00:00,3889,940
2018-05-10T00:00:01.310023+00:00,3904,940
2018-05-11T00:00:01.593052+00:00,3921,941
2018-05-12T00:00:01.970316+00:00,3936,945
2018-05-13T00:00:02.190641+00:00,3956,952
2018-05-14T00:00:01.554622+00:00,3973,955
2018-05-15T00:00:01.903969+00:00,3997,954
2018-05-16T00:00:02.354884+00:00,4020,956
2018-05-17T00:00:01.579446+00:00,4039,957
2018-05-18T00:00:01.825152+00:00,4061,958
2018-05-19T00:00:02.337643+00:00,4085,960
2018-05-20T00:00:01.610443+00:00,4092,961
2018-05-21T00:00:01.802090+00:00,4100,962
2018-05-22T00:00:02.725479+00:00,4116,963
2018-05-23T00:00:02.580542+00:00,4139,965
2018-05-24T00:00:01.917444+00:00,4157,966
2018-05-25T00:00:02.231105+00:00,4165,967
2018-05-26T00:00:01.479858+00:00,4189,968
2018-05-27T00:00:01.756972+00:00,4197,969
2018-05-28T00:00:01.974857+00:00,4204,968
2018-05-29T00:00:02.154443+00:00,4219,968
2018-05-30T00:00:01.412694+00:00,4272,970
2018-05-31T00:00:01.767789+00:00,4285,971
2018-06-01T00:00:01.990144+00:00,4307,971
2018-06-02T00:00:01.145879+00:00,4331,974
2018-06-03T00:00:01.817078+00:00,4349,974
2018-06-04T00:00:02.056359+00:00,4368,976
2018-06-05T00:00:01.352470+00:00,4399,976
2018-06-06T00:00:01.680124+00:00,4421,977
2018-06-07T00:00:01.903612+00:00,4440,978
2018-06-08T00:00:02.352330+00:00,4457,979
2018-06-09T00:00:01.534008+00:00,4474,982
2018-06-10T00:00:01.724978+00:00,4494,983
2018-06-11T00:00:01.921338+00:00,4512,983
2018-06-12T00:00:02.205532+00:00,4556,986
2018-06-13T00:00:01.518069+00:00,4577,989
2018-06-14T00:00:01.680486+00:00,4596,991
2018-06-15T00:00:02.014250+00:00,4619,992
2018-06-16T00:00:01.244140+00:00,4647,993
2018-06-17T00:00:01.802901+00:00,4664,993
2018-06-18T00:00:02.091614+00:00,4681,995
2018-06-19T00:00:01.391844+00:00,4705,997
2018-06-20T00:00:01.683915+00:00,4716,997
2018-06-21T00:00:01.865965+00:00,4743,997
2018-06-22T00:00:02.088830+00:00,4771,998
2018-06-23T00:00:01.342141+00:00,4789,1001
2018-06-24T00:00:01.485350+00:00,4808,1003
2018-06-25T00:00:01.662650+00:00,4820,1005
2018-06-26T00:00:02.253844+00:00,4835,1008
2018-06-27T00:00:01.423352+00:00,4870,1010
2018-06-28T00:00:01.729520+00:00,4899,1012
2018-06-29T00:00:02.001959+00:00,4920,1012
2018-06-30T00:00:01.223198+00:00,4938,1015
2018-07-01T00:00:01.489075+00:00,4953,1017
2018-07-02T00:00:01.642642+00:00,4966,1016
2018-07-03T00:00:01.896921+00:00,4993,1018
2018-07-04T00:00:02.252016+00:00,5040,1021
2018-07-05T00:00:01.397668+00:00,5095,1022
2018-07-06T00:00:01.698346+00:00,5123,1023
2018-07-07T00:00:01.962776+00:00,5155,1024
2018-07-08T00:00:02.240518+00:00,5165,1025
2018-07-09T00:00:01.460772+00:00,5183,1026
2018-07-10T00:00:01.776017+00:00,5217,1026
2018-07-11T00:00:02.065119+00:00,5250,1028
2018-07-12T00:00:01.273788+00:00,5277,1029
